epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9794,1.24665,3.33373,1.67505,0.40181,0.55746,0.46116,0.34748,1.05086,2.46772,1.58551,0.00026664,0.00026664,0.00026664
2,40.4359,1.08822,1.87399,1.51354,0.14213,0.51238,0.20865,0.103,1.67532,3.01834,2.45952,0.000535408,0.000535408,0.000535408
3,48.8208,1.1409,1.70619,1.56567,0.80438,0.13201,0.13574,0.05097,2.90742,3.52929,4.39502,0.000795009,0.000795009,0.000795009
4,56.4,1.18651,1.68814,1.57096,0.33615,0.15778,0.1619,0.07087,2.00487,2.99017,3.82493,0.00104545,0.00104545,0.00104545
5,64.6271,1.16811,1.66653,1.55036,0.09766,0.2905,0.11369,0.03599,2.49937,3.56687,3.34143,0.00103767,0.00103767,0.00103767
6,72.6653,1.18705,1.50695,1.5783,0.27368,0.34825,0.25852,0.12566,2.15207,2.61725,3.34105,0.00101934,0.00101934,0.00101934
7,80.3545,1.18806,1.49376,1.56971,0.44677,0.3244,0.22172,0.09278,2.19083,3.32621,3.36497,0.00100101,0.00100101,0.00100101
8,88.5845,1.16006,1.45799,1.54255,0.51107,0.40667,0.29416,0.19406,1.41728,2.87536,2.14313,0.000982679,0.000982679,0.000982679
9,96.1094,1.17068,1.49608,1.56302,0.30642,0.56495,0.45731,0.26232,1.44135,2.20723,2.10806,0.000964348,0.000964348,0.000964348
10,104.343,1.07816,1.33049,1.50428,0.65572,0.41778,0.36618,0.19713,2.09452,2.2645,3.25174,0.000946016,0.000946016,0.000946016
11,112.71,1.13818,1.33401,1.52461,0.4816,0.42226,0.32045,0.17474,1.98427,2.26548,3.05461,0.000927685,0.000927685,0.000927685
12,120.233,1.05874,1.28711,1.47047,0.44851,0.42222,0.40026,0.20928,1.9382,2.06714,2.94699,0.000909353,0.000909353,0.000909353
13,128.46,1.06178,1.33038,1.48926,0.6343,0.64528,0.7047,0.43465,1.25483,1.49292,1.76379,0.000891022,0.000891022,0.000891022
14,136.281,1.05254,1.26519,1.46008,0.69701,0.28434,0.30602,0.19025,2.00714,1.82517,3.12567,0.000872691,0.000872691,0.000872691
15,144.247,1.07603,1.23228,1.48966,0.45925,0.35591,0.30071,0.2038,1.77358,2.15819,2.61444,0.000854359,0.000854359,0.000854359
16,152.621,1.03969,1.18207,1.46642,0.46003,0.48271,0.47522,0.28167,1.52671,1.76801,2.16203,0.000836027,0.000836027,0.000836027
17,160.264,1.03368,1.21069,1.44728,0.59005,0.58525,0.55593,0.36407,1.26126,1.89875,1.81341,0.000817696,0.000817696,0.000817696
18,168.549,1.03127,1.13832,1.42122,0.48365,0.81241,0.67734,0.42491,1.28257,1.44065,1.75188,0.000799365,0.000799365,0.000799365
19,176.853,1.04598,1.17381,1.44221,0.75216,0.57228,0.58518,0.39478,1.15573,1.51933,1.60001,0.000781033,0.000781033,0.000781033
20,184.605,1.00329,1.13415,1.44487,0.54478,0.59048,0.63077,0.44415,1.16272,1.57107,1.65936,0.000762702,0.000762702,0.000762702
21,192.931,1.05423,1.1434,1.4707,0.68771,0.66429,0.73665,0.52289,1.04264,1.33704,1.56713,0.00074437,0.00074437,0.00074437
22,200.964,1.03437,1.13613,1.45623,0.51791,0.68063,0.65753,0.42319,1.17957,1.48812,1.65112,0.000726038,0.000726038,0.000726038
23,208.867,0.97096,1.08939,1.40703,0.65369,0.62928,0.73725,0.524,1.0955,1.23902,1.55843,0.000707707,0.000707707,0.000707707
24,217.189,0.97004,1.05267,1.38675,0.71279,0.74748,0.76414,0.52304,1.04157,1.23436,1.46439,0.000689376,0.000689376,0.000689376
25,224.724,0.95335,1.06737,1.37708,0.62293,0.60364,0.65174,0.4598,1.22704,1.43852,1.76901,0.000671044,0.000671044,0.000671044
26,232.986,0.95595,1.00782,1.4027,0.57567,0.73389,0.77718,0.51633,1.13776,1.17153,1.61874,0.000652712,0.000652712,0.000652712
27,241.291,0.92635,0.9958,1.37728,0.45838,0.83516,0.73126,0.44528,1.30208,1.36572,1.70289,0.000634381,0.000634381,0.000634381
28,249.029,0.94951,0.97243,1.38073,0.5766,0.69651,0.68491,0.46197,1.13328,1.48957,1.61131,0.000616049,0.000616049,0.000616049
29,257.374,0.912,0.9423,1.34641,0.64895,0.63243,0.68609,0.40886,1.28688,1.42018,1.73962,0.000597718,0.000597718,0.000597718
30,265.952,0.88871,0.92968,1.34622,0.70342,0.83823,0.81984,0.57726,1.09963,0.95373,1.60552,0.000579386,0.000579386,0.000579386
31,274.007,0.97433,0.93208,1.3951,0.71663,0.65462,0.74887,0.53561,1.10041,1.1448,1.55246,0.000561055,0.000561055,0.000561055
32,282.543,0.94675,0.95512,1.36939,0.68269,0.76559,0.78123,0.54708,1.08039,1.04435,1.50312,0.000542723,0.000542723,0.000542723
33,290.511,0.90508,0.95158,1.36139,0.65309,0.72572,0.77673,0.51699,1.0483,1.05727,1.51828,0.000524392,0.000524392,0.000524392
34,298.69,0.89077,0.90524,1.34402,0.67407,0.52712,0.71322,0.49653,1.13258,1.27846,1.59084,0.00050606,0.00050606,0.00050606
35,307.286,0.92008,0.92822,1.37048,0.55686,0.68046,0.6831,0.42235,1.45018,1.47813,1.85977,0.000487729,0.000487729,0.000487729
36,315.009,0.82853,0.84428,1.29891,0.5238,0.72271,0.73271,0.4962,1.10588,1.2746,1.55371,0.000469397,0.000469397,0.000469397
37,323.369,0.82274,0.81238,1.301,0.73476,0.68757,0.75154,0.54037,0.99495,1.26896,1.46152,0.000451066,0.000451066,0.000451066
38,331.753,0.87022,0.8414,1.31239,0.80802,0.7249,0.83284,0.58701,1.0442,1.00804,1.50366,0.000432734,0.000432734,0.000432734
39,339.464,0.91896,0.84937,1.35953,0.88744,0.70138,0.83355,0.56466,1.19473,0.98332,1.60579,0.000414403,0.000414403,0.000414403
40,347.956,0.87384,0.81747,1.34653,0.64234,0.71519,0.76869,0.52095,0.98651,1.28727,1.42871,0.000396071,0.000396071,0.000396071
41,356.338,0.87255,0.81625,1.31082,0.84014,0.75291,0.85667,0.57621,1.08694,0.83737,1.53535,0.00037774,0.00037774,0.00037774
42,364.186,0.82091,0.79765,1.30141,0.84909,0.63308,0.80955,0.58852,1.03941,1.02667,1.50931,0.000359409,0.000359409,0.000359409
43,372.727,0.8638,0.81841,1.33796,0.76787,0.70518,0.78306,0.54325,1.0921,1.22802,1.55352,0.000341077,0.000341077,0.000341077
44,380.549,0.84981,0.75558,1.3041,0.66156,0.79482,0.77362,0.55983,1.00348,1.0966,1.49139,0.000322745,0.000322745,0.000322745
45,388.83,0.8039,0.74444,1.28928,0.77955,0.82992,0.81501,0.57405,1.02365,0.85608,1.47489,0.000304414,0.000304414,0.000304414
46,397.3,0.79556,0.72034,1.27774,0.78916,0.70705,0.81296,0.5637,1.08816,0.93716,1.51793,0.000286083,0.000286083,0.000286083
47,405.136,0.8194,0.69528,1.28483,0.74115,0.70927,0.8208,0.58028,1.05806,0.90043,1.50189,0.000267751,0.000267751,0.000267751
48,413.836,0.81779,0.7229,1.29073,0.66771,0.78096,0.80442,0.56945,1.06062,0.97188,1.49668,0.00024942,0.00024942,0.00024942
49,422.435,0.81604,0.67857,1.27984,0.85934,0.6821,0.85152,0.60583,0.98434,0.8219,1.47582,0.000231088,0.000231088,0.000231088
50,430.227,0.77936,0.64313,1.24689,0.83658,0.78336,0.87351,0.61755,1.02091,0.79161,1.47577,0.000212757,0.000212757,0.000212757
51,440.703,0.76038,0.59797,1.39614,0.83888,0.76254,0.80541,0.55987,1.05712,0.96425,1.49247,0.000194425,0.000194425,0.000194425
52,449.093,0.70767,0.52646,1.32594,0.58627,0.83975,0.73666,0.52053,1.05499,1.1916,1.48764,0.000176094,0.000176094,0.000176094
53,456.637,0.69133,0.51451,1.31495,0.82613,0.69603,0.83529,0.5921,1.01773,0.99804,1.44777,0.000157762,0.000157762,0.000157762
54,464.878,0.662,0.45288,1.26485,0.78061,0.69361,0.80787,0.56231,1.05348,0.93065,1.47277,0.000139431,0.000139431,0.000139431
55,472.839,0.66667,0.46243,1.29169,0.79629,0.71437,0.81746,0.57711,1.04952,0.94913,1.49692,0.000121099,0.000121099,0.000121099
56,480.749,0.66797,0.43822,1.28359,0.77866,0.75904,0.8365,0.59068,1.04662,0.94306,1.49344,0.000102768,0.000102768,0.000102768
57,488.932,0.64331,0.42936,1.26361,0.798,0.82935,0.84665,0.59485,1.05536,0.9239,1.49383,8.4436e-05,8.4436e-05,8.4436e-05
58,496.438,0.63684,0.40718,1.25749,0.77783,0.83719,0.84972,0.60616,0.9996,0.91691,1.45451,6.61045e-05,6.61045e-05,6.61045e-05
59,504.781,0.63719,0.39218,1.25076,0.78167,0.84484,0.84683,0.61424,0.99898,0.87525,1.43983,4.7773e-05,4.7773e-05,4.7773e-05
60,513.289,0.6198,0.40885,1.2284,0.78869,0.84931,0.84882,0.6194,0.98269,0.8813,1.42084,2.94415e-05,2.94415e-05,2.94415e-05
